r(m), theta(rad), phi(rad), E(Re), E(Im), H(Re), H(Im)
0.300000, 1.822124, 2.104867, 0.006502, 0.004816, 0.000007, 0.000016
0.300000, 1.822124, 2.073451, 0.005777, 0.004565, 0.000008, 0.000017
0.300000, 1.822124, 2.042035, 0.005828, 0.004172, 0.000011, 0.000016
0.300000, 1.822124, 2.010619, 0.006429, 0.003900, 0.000015, 0.000016
0.300000, 1.822124, 1.979203, 0.007217, 0.004076, 0.000019, 0.000016
0.300000, 1.822124, 1.947787, 0.007968, 0.004780, 0.000021, 0.000016
0.300000, 1.822124, 1.916372, 0.008603, 0.005801, 0.000024, 0.000018
0.300000, 1.822124, 1.884956, 0.009118, 0.006897, 0.000025, 0.000020
0.300000, 1.822124, 1.853540, 0.009536, 0.007915, 0.000027, 0.000022
0.300000, 1.822124, 1.822124, 0.009880, 0.008776, 0.000028, 0.000023
0.300000, 1.822124, 1.790708, 0.010161, 0.009450, 0.000029, 0.000025
0.300000, 1.822124, 1.759292, 0.010381, 0.009939, 0.000029, 0.000026
0.300000, 1.822124, 1.727876, 0.010537, 0.010261, 0.000029, 0.000026
0.300000, 1.822124, 1.696460, 0.010630, 0.010445, 0.000030, 0.000026
0.300000, 1.822124, 1.665044, 0.010664, 0.010525, 0.000029, 0.000025
0.300000, 1.822124, 1.633628, 0.010650, 0.010530, 0.000029, 0.000025
0.300000, 1.822124, 1.602212, 0.010604, 0.010491, 0.000029, 0.000024
0.300000, 1.822124, 1.570796, 0.010544, 0.010428, 0.000028, 0.000023
0.300000, 1.822124, 1.539380, 0.010491, 0.010354, 0.000028, 0.000022
0.300000, 1.822124, 1.507964, 0.010463, 0.010271, 0.000027, 0.000020
0.300000, 1.822124, 1.476549, 0.010477, 0.010170, 0.000027, 0.000019
0.300000, 1.822124, 1.445133, 0.010548, 0.010038, 0.000027, 0.000017
0.300000, 1.822124, 1.413717, 0.010688, 0.009864, 0.000028, 0.000015
0.300000, 1.822124, 1.382301, 0.010905, 0.009650, 0.000028, 0.000012
0.300000, 1.822124, 1.350885, 0.011200, 0.009435, 0.000029, 0.000009
0.300000, 1.822124, 1.319469, 0.011564, 0.009306, 0.000030, 0.000006
0.300000, 1.822124, 1.288053, 0.011982, 0.009408, 0.000031, 0.000003
0.300000, 1.822124, 1.256637, 0.012440, 0.009897, 0.000033, 0.000006
0.300000, 1.822124, 1.225221, 0.012944, 0.010858, 0.000035, 0.000012
0.300000, 1.822124, 1.193805, 0.013542, 0.012226, 0.000036, 0.000019
0.300000, 1.822124, 1.162389, 0.014339, 0.013804, 0.000039, 0.000025
0.300000, 1.822124, 1.130973, 0.015471, 0.015321, 0.000042, 0.000031
0.300000, 1.822124, 1.099557, 0.017032, 0.016499, 0.000046, 0.000035
0.300000, 1.822124, 1.068142, 0.018995, 0.017103, 0.000051, 0.000038
0.300000, 1.822124, 1.036726, 0.021174, 0.016994, 0.000057, 0.000039
0.300000, 1.822124, 1.005310, 0.023257, 0.016175, 0.000062, 0.000039
0.300000, 1.822124, 0.973894, 0.024893, 0.014826, 0.000066, 0.000037
0.300000, 1.822124, 0.942478, 0.025772, 0.013307, 0.000068, 0.000036
0.300000, 1.822124, 0.911062, 0.025715, 0.012068, 0.000068, 0.000035
0.300000, 1.822124, 0.879646, 0.024720, 0.011427, 0.000065, 0.000036
0.300000, 1.822124, 0.848230, 0.022988, 0.011349, 0.000060, 0.000037
0.300000, 1.822124, 0.816814, 0.020882, 0.011542, 0.000055, 0.000039
0.300000, 1.822124, 0.785398, 0.018841, 0.011789, 0.000049, 0.000039
0.300000, 1.822124, 0.753982, 0.017248, 0.012088, 0.000045, 0.000040
0.300000, 1.822124, 0.722566, 0.016328, 0.012520, 0.000043, 0.000041
0.300000, 1.822124, 0.691150, 0.016100, 0.013038, 0.000042, 0.000041
0.300000, 1.822124, 0.659734, 0.016371, 0.013446, 0.000043, 0.000042
0.300000, 1.822124, 0.628319, 0.016769, 0.013575, 0.000044, 0.000043
0.300000, 1.822124, 0.596903, 0.016822, 0.013432, 0.000045, 0.000042
0.300000, 1.822124, 0.565487, 0.016149, 0.013143, 0.000043, 0.000042
0.300000, 1.822124, 0.534071, 0.014716, 0.012692, 0.000040, 0.000041
0.300000, 1.822124, 0.502655, 0.013073, 0.011747, 0.000035, 0.000038
0.300000, 1.822124, 0.471239, 0.012353, 0.009801, 0.000033, 0.000033
0.300000, 1.822124, 0.439823, 0.013331, 0.006585, 0.000035, 0.000023
0.300000, 1.822124, 0.408407, 0.015322, 0.003473, 0.000040, 0.000011
0.300000, 1.822124, 0.376991, 0.016999, 0.007091, 0.000044, 0.000013
0.300000, 1.822124, 0.345575, 0.017378, 0.014197, 0.000044, 0.000031
0.300000, 1.822124, 0.314159, 0.015938, 0.022038, 0.000040, 0.000052
0.300000, 1.822124, 0.282743, 0.012521, 0.029818, 0.000030, 0.000073
0.300000, 1.822124, 0.251327, 0.007745, 0.036892, 0.000015, 0.000092
0.300000, 1.822124, 0.219911, 0.007485, 0.042506, 0.000015, 0.000107
0.300000, 1.822124, 0.188496, 0.016567, 0.045698, 0.000043, 0.000115
0.300000, 1.822124, 0.157080, 0.029052, 0.045333, 0.000076, 0.000114
0.300000, 1.822124, 0.125664, 0.042484, 0.040345, 0.000112, 0.000101
0.300000, 1.822124, 0.094248, 0.054779, 0.030128, 0.000144, 0.000074
0.300000, 1.822124, 0.062832, 0.063554, 0.015020, 0.000167, 0.000034
0.300000, 1.822124, 0.031416, 0.066504, 0.005004, 0.000175, 0.000017
0.300000, 0.000000, 0.000000, 0.062013, 0.024102, 0.000162, 0.000068
0.300000, 0.000000, 3.141593, 0.029329, 0.045003, 0.000068, 0.000116
0.300000, 1.884956, 3.110177, 0.006476, 0.049870, 0.000007, 0.000130
0.300000, 1.884956, 3.078761, 0.016613, 0.044751, 0.000052, 0.000117
0.300000, 1.884956, 3.047345, 0.032994, 0.032169, 0.000095, 0.000085
0.300000, 1.884956, 3.015929, 0.042240, 0.015732, 0.000120, 0.000042
0.300000, 1.884956, 2.984513, 0.044270, 0.002783, 0.000126, 0.000008
0.300000, 1.884956, 2.953097, 0.040412, 0.016404, 0.000116, 0.000043
0.300000, 1.884956, 2.921681, 0.032607, 0.027492, 0.000095, 0.000072
0.300000, 1.884956, 2.890265, 0.022811, 0.034528, 0.000069, 0.000090
0.300000, 1.884956, 2.858849, 0.012797, 0.037684, 0.000042, 0.000098
0.300000, 1.884956, 2.827433, 0.005646, 0.037464, 0.000019, 0.000097
0.300000, 1.884956, 2.796017, 0.008969, 0.034477, 0.000016, 0.000089
0.300000, 1.884956, 2.764602, 0.014914, 0.029392, 0.000030, 0.000075
0.300000, 1.884956, 2.733186, 0.019035, 0.022986, 0.000041, 0.000058
0.300000, 1.884956, 2.701770, 0.020720, 0.016154, 0.000045, 0.000040
0.300000, 1.884956, 2.670354, 0.020045, 0.009810, 0.000044, 0.000022
0.300000, 1.884956, 2.638938, 0.017530, 0.004725, 0.000037, 0.000008
0.300000, 1.884956, 2.607522, 0.014002, 0.001842, 0.000028, 0.000003
0.300000, 1.884956, 2.576106, 0.010380, 0.002904, 0.000018, 0.000010
0.300000, 1.884956, 2.544690, 0.007443, 0.004956, 0.000010, 0.000016
0.300000, 1.884956, 2.513274, 0.005675, 0.007059, 0.000006, 0.000021
0.300000, 1.884956, 2.481858, 0.005237, 0.008937, 0.000007, 0.000026
