r(m), theta(rad), phi(rad), E(Re), E(Im)
3000.000000, -3.015929, 1.727876, 0.000008, 0.000000
3000.000000, -3.015929, 1.696460, 0.000009, 0.000000
3000.000000, -3.015929, 1.665044, 0.000010, 0.000000
3000.000000, -3.015929, 1.633628, 0.000011, 0.000000
3000.000000, -3.015929, 1.602212, 0.000012, 0.000000
3000.000000, -3.015929, 1.570796, 0.000012, 0.000000
3000.000000, -3.015929, 1.539380, 0.000012, 0.000000
3000.000000, -3.015929, 1.507964, 0.000012, 0.000000
3000.000000, -3.015929, 1.476549, 0.000011, 0.000000
3000.000000, -3.015929, 1.445133, 0.000010, 0.000000
3000.000000, -3.015929, 1.413717, 0.000008, 0.000000
3000.000000, -3.015929, 1.382301, 0.000007, 0.000000
3000.000000, -3.015929, 1.350885, 0.000007, 0.000000
3000.000000, -3.015929, 1.319469, 0.000007, 0.000000
3000.000000, -3.015929, 1.288053, 0.000007, 0.000000
3000.000000, -3.015929, 1.256637, 0.000008, 0.000000
3000.000000, -3.015929, 1.225221, 0.000009, 0.000000
3000.000000, -3.015929, 1.193805, 0.000009, 0.000000
3000.000000, -3.015929, 1.162389, 0.000009, 0.000000
3000.000000, -3.015929, 1.130973, 0.000007, 0.000000
3000.000000, -3.015929, 1.099557, 0.000006, 0.000000
3000.000000, -3.015929, 1.068142, 0.000006, 0.000000
3000.000000, -3.015929, 1.036726, 0.000007, 0.000000
3000.000000, -3.015929, 1.005310, 0.000008, 0.000000
3000.000000, -3.015929, 0.973894, 0.000009, 0.000000
3000.000000, -3.015929, 0.942478, 0.000008, 0.000000
3000.000000, -3.015929, 0.911062, 0.000006, 0.000000
3000.000000, -3.015929, 0.879646, 0.000006, 0.000000
3000.000000, -3.015929, 0.848230, 0.000007, 0.000000
3000.000000, -3.015929, 0.816814, 0.000008, 0.000000
3000.000000, -3.015929, 0.785398, 0.000008, 0.000000
3000.000000, -3.015929, 0.753982, 0.000007, 0.000000
3000.000000, -3.015929, 0.722566, 0.000008, 0.000000
3000.000000, -3.015929, 0.691150, 0.000010, 0.000000
3000.000000, -3.015929, 0.659734, 0.000010, 0.000000
3000.000000, -3.015929, 0.628319, 0.000008, 0.000000
3000.000000, -3.015929, 0.596903, 0.000007, 0.000000
3000.000000, -3.015929, 0.565487, 0.000009, 0.000000
3000.000000, -3.015929, 0.534071, 0.000011, 0.000000
3000.000000, -3.015929, 0.502655, 0.000011, 0.000000
3000.000000, -3.015929, 0.471239, 0.000009, 0.000000
3000.000000, -3.015929, 0.439823, 0.000010, 0.000000
3000.000000, -3.015929, 0.408407, 0.000012, 0.000000
3000.000000, -3.015929, 0.376991, 0.000011, 0.000000
3000.000000, -3.015929, 0.345575, 0.000009, 0.000000
3000.000000, -3.015929, 0.314159, 0.000010, 0.000000
3000.000000, -3.015929, 0.282743, 0.000012, 0.000000
3000.000000, -3.015929, 0.251327, 0.000012, 0.000000
3000.000000, -3.015929, 0.219911, 0.000010, 0.000000
3000.000000, -3.015929, 0.188496, 0.000011, 0.000000
3000.000000, -3.015929, 0.157080, 0.000012, 0.000000
3000.000000, -3.015929, 0.125664, 0.000012, 0.000000
3000.000000, -3.015929, 0.094248, 0.000012, 0.000000
3000.000000, -3.015929, 0.062832, 0.000014, 0.000000
3000.000000, -3.015929, 0.031416, 0.000015, 0.000000
3000.000000, 0.000000, 0.000000, 0.000015, 0.000000
3000.000000, 0.000000, 3.141593, 0.000014, 0.000000
3000.000000, -2.953097, 3.110177, 0.000014, 0.000000
3000.000000, -2.953097, 3.078761, 0.000014, 0.000000
3000.000000, -2.953097, 3.047345, 0.000013, 0.000000
3000.000000, -2.953097, 3.015929, 0.000011, 0.000000
3000.000000, -2.953097, 2.984513, 0.000010, 0.000000
3000.000000, -2.953097, 2.953097, 0.000011, 0.000000
3000.000000, -2.953097, 2.921681, 0.000011, 0.000000
3000.000000, -2.953097, 2.890265, 0.000010, 0.000000
3000.000000, -2.953097, 2.858849, 0.000010, 0.000000
3000.000000, -2.953097, 2.827433, 0.000011, 0.000000
3000.000000, -2.953097, 2.796017, 0.000010, 0.000000
3000.000000, -2.953097, 2.764602, 0.000009, 0.000000
3000.000000, -2.953097, 2.733186, 0.000009, 0.000000
3000.000000, -2.953097, 2.701770, 0.000010, 0.000000
3000.000000, -2.953097, 2.670354, 0.000010, 0.000000
3000.000000, -2.953097, 2.638938, 0.000009, 0.000000
3000.000000, -2.953097, 2.607522, 0.000009, 0.000000
3000.000000, -2.953097, 2.576106, 0.000008, 0.000000
3000.000000, -2.953097, 2.544690, 0.000007, 0.000000
3000.000000, -2.953097, 2.513274, 0.000007, 0.000000
3000.000000, -2.953097, 2.481858, 0.000007, 0.000000
3000.000000, -2.953097, 2.450442, 0.000007, 0.000000
3000.000000, -2.953097, 2.419026, 0.000008, 0.000000
3000.000000, -2.953097, 2.387610, 0.000007, 0.000000
3000.000000, -2.953097, 2.356194, 0.000006, 0.000000
3000.000000, -2.953097, 2.324779, 0.000005, 0.000000
3000.000000, -2.953097, 2.293363, 0.000006, 0.000000
3000.000000, -2.953097, 2.261947, 0.000006, 0.000000
3000.000000, -2.953097, 2.230531, 0.000006, 0.000000
3000.000000, -2.953097, 2.199115, 0.000006, 0.000000
3000.000000, -2.953097, 2.167699, 0.000006, 0.000000
3000.000000, -2.953097, 2.136283, 0.000006, 0.000000
3000.000000, -2.953097, 2.104867, 0.000006, 0.000000
3000.000000, -2.953097, 2.073451, 0.000006, 0.000000
3000.000000, -2.953097, 2.042035, 0.000006, 0.000000
3000.000000, -2.953097, 2.010619, 0.000006, 0.000000
3000.000000, -2.953097, 1.979203, 0.000006, 0.000000
3000.000000, -2.953097, 1.947787, 0.000006, 0.000000
3000.000000, -2.953097, 1.916372, 0.000006, 0.000000
3000.000000, -2.953097, 1.884956, 0.000006, 0.000000
3000.000000, -2.953097, 1.853540, 0.000005, 0.000000
3000.000000, -2.953097, 1.822124, 0.000005, 0.000000
3000.000000, -2.953097, 1.790708, 0.000005, 0.000000
3000.000000, -2.953097, 1.759292, 0.000005, 0.000000
3000.000000, -2.953097, 1.727876, 0.000006, 0.000000
3000.000000, -2.953097, 1.696460, 0.000007, 0.000000
3000.000000, -2.953097, 1.665044, 0.000008, 0.000000
3000.000000, -2.953097, 1.633628, 0.000009, 0.000000
3000.000000, -2.953097, 1.602212, 0.000010, 0.000000
3000.000000, -2.953097, 1.570796, 0.000010, 0.000000
3000.000000, -2.953097, 1.539380, 0.000010, 0.000000
3000.000000, -2.953097, 1.507964, 0.000010, 0.000000
3000.000000, -2.953097, 1.476549, 0.000009, 0.000000
3000.000000, -2.953097, 1.445133, 0.000008, 0.000000
3000.000000, -2.953097, 1.413717, 0.000007, 0.000000
3000.000000, -2.953097, 1.382301, 0.000006, 0.000000
3000.000000, -2.953097, 1.350885, 0.000005, 0.000000
3000.000000, -2.953097, 1.319469, 0.000005, 0.000000
3000.000000, -2.953097, 1.288053, 0.000006, 0.000000
3000.000000, -2.953097, 1.256637, 0.000006, 0.000000
3000.000000, -2.953097, 1.225221, 0.000007, 0.000000
3000.000000, -2.953097, 1.193805, 0.000007, 0.000000
3000.000000, -2.953097, 1.162389, 0.000006, 0.000000
3000.000000, -2.953097, 1.130973, 0.000005, 0.000000
3000.000000, -2.953097, 1.099557, 0.000005, 0.000000
3000.000000, -2.953097, 1.068142, 0.000005, 0.000000
3000.000000, -2.953097, 1.036726, 0.000006, 0.000000
3000.000000, -2.953097, 1.005310, 0.000007, 0.000000
3000.000000, -2.953097, 0.973894, 0.000007, 0.000000
3000.000000, -2.953097, 0.942478, 0.000006, 0.000000
3000.000000, -2.953097, 0.911062, 0.000004, 0.000000
3000.000000, -2.953097, 0.879646, 0.000005, 0.000000
3000.000000, -2.953097, 0.848230, 0.000006, 0.000000
3000.000000, -2.953097, 0.816814, 0.000007, 0.000000
3000.000000, -2.953097, 0.785398, 0.000006, 0.000000
3000.000000, -2.953097, 0.753982, 0.000005, 0.000000
3000.000000, -2.953097, 0.722566, 0.000007, 0.000000
3000.000000, -2.953097, 0.691150, 0.000009, 0.000000
3000.000000, -2.953097, 0.659734, 0.000009, 0.000000
3000.000000, -2.953097, 0.628319, 0.000006, 0.000000
3000.000000, -2.953097, 0.596903, 0.000006, 0.000000
3000.000000, -2.953097, 0.565487, 0.000009, 0.000000
3000.000000, -2.953097, 0.534071, 0.000010, 0.000000
3000.000000, -2.953097, 0.502655, 0.000009, 0.000000
3000.000000, -2.953097, 0.471239, 0.000008, 0.000000
3000.000000, -2.953097, 0.439823, 0.000010, 0.000000
3000.000000, -2.953097, 0.408407, 0.000011, 0.000000
3000.000000, -2.953097, 0.376991, 0.000010, 0.000000
3000.000000, -2.953097, 0.345575, 0.000009, 0.000000
3000.000000, -2.953097, 0.314159, 0.000010, 0.000000
3000.000000, -2.953097, 0.282743, 0.000012, 0.000000
3000.000000, -2.953097, 0.251327, 0.000011, 0.000000
3000.000000, -2.953097, 0.219911, 0.000010, 0.000000
3000.000000, -2.953097, 0.188496, 0.000011, 0.000000
3000.000000, -2.953097, 0.157080, 0.000012, 0.000000
3000.000000, -2.953097, 0.125664, 0.000012, 0.000000
3000.000000, -2.953097, 0.094248, 0.000012, 0.000000
3000.000000, -2.953097, 0.062832, 0.000014, 0.000000
3000.000000, -2.953097, 0.031416, 0.000015, 0.000000
3000.000000, 0.000000, 0.000000, 0.000015, 0.000000
3000.000000, 0.000000, 3.141593, 0.000014, 0.000000
3000.000000, -2.890265, 3.110177, 0.000014, 0.000000
3000.000000, -2.890265, 3.078761, 0.000014, 0.000000
3000.000000, -2.890265, 3.047345, 0.000014, 0.000000
3000.000000, -2.890265, 3.015929, 0.000011, 0.000000
3000.000000, -2.890265, 2.984513, 0.000010, 0.000000
3000.000000, -2.890265, 2.953097, 0.000011, 0.000000
3000.000000, -2.890265, 2.921681, 0.000011, 0.000000
3000.000000, -2.890265, 2.890265, 0.000010, 0.000000
3000.000000, -2.890265, 2.858849, 0.000010, 0.000000
3000.000000, -2.890265, 2.827433, 0.000010, 0.000000
3000.000000, -2.890265, 2.796017, 0.000010, 0.000000
3000.000000, -2.890265, 2.764602, 0.000009, 0.000000
3000.000000, -2.890265, 2.733186, 0.000009, 0.000000
3000.000000, -2.890265, 2.701770, 0.000009, 0.000000
3000.000000, -2.890265, 2.670354, 0.000009, 0.000000
3000.000000, -2.890265, 2.638938, 0.000009, 0.000000
3000.000000, -2.890265, 2.607522, 0.000008, 0.000000
3000.000000, -2.890265, 2.576106, 0.000007, 0.000000
3000.000000, -2.890265, 2.544690, 0.000007, 0.000000
3000.000000, -2.890265, 2.513274, 0.000006, 0.000000
3000.000000, -2.890265, 2.481858, 0.000006, 0.000000
3000.000000, -2.890265, 2.450442, 0.000006, 0.000000
3000.000000, -2.890265, 2.419026, 0.000006, 0.000000
3000.000000, -2.890265, 2.387610, 0.000006, 0.000000
3000.000000, -2.890265, 2.356194, 0.000005, 0.000000
3000.000000, -2.890265, 2.324779, 0.000004, 0.000000
3000.000000, -2.890265, 2.293363, 0.000004, 0.000000
3000.000000, -2.890265, 2.261947, 0.000004, 0.000000
3000.000000, -2.890265, 2.230531, 0.000004, 0.000000
3000.000000, -2.890265, 2.199115, 0.000004, 0.000000
