X(m), Y(m), Z(m), Ex(Re), Ex(Im), Ey(Re), Ey(Im), Ez(Re), Ez(Im)
-2117.134402, -133.198806, -2121.320344, -0.000001, -0.000005, 0.000000, 0.000000, 0.000001, 0.000005
-2182.590523, -137.316957, -2053.641318, -0.000005, -0.000001, 0.000000, -0.000000, 0.000005, 0.000000
-2245.892690, -141.299591, -1983.935596, -0.000002, 0.000005, -0.000000, -0.000001, 0.000002, -0.000006
-2306.978433, -145.142780, -1912.271969, 0.000003, 0.000004, -0.000001, -0.000000, -0.000005, -0.000004
-2365.787466, -148.842731, -1838.721161, 0.000004, -0.000002, -0.000001, 0.000000, -0.000006, 0.000002
-2422.261752, -152.395792, -1763.355757, 0.000000, -0.000005, -0.000000, 0.000001, -0.000001, 0.000007
-2476.345559, -155.798457, -1686.250134, -0.000004, -0.000003, 0.000001, 0.000001, 0.000006, 0.000004
-2527.985512, -159.047367, -1607.480385, -0.000004, 0.000002, 0.000001, 0.000000, 0.000007, -0.000003
-2577.130648, -162.139317, -1527.124247, -0.000001, 0.000004, 0.000001, -0.000000, 0.000001, -0.000007
-2623.732467, -165.071255, -1445.261022, 0.000003, 0.000002, 0.000001, -0.000001, -0.000005, -0.000005
-2667.744979, -167.840288, -1361.971499, 0.000003, -0.000001, 0.000000, -0.000000, -0.000006, 0.000002
-2709.124749, -170.443682, -1277.337875, 0.000001, -0.000003, 0.000000, -0.000000, -0.000003, 0.000007
-2747.830940, -172.878869, -1191.443672, -0.000002, -0.000003, 0.000001, -0.000000, 0.000004, 0.000007
-2783.825353, -175.143446, -1104.373658, -0.000004, -0.000002, 0.000001, -0.000001, 0.000008, 0.000003
-2817.072467, -177.235177, -1016.213761, -0.000003, 0.000001, 0.000001, -0.000001, 0.000009, -0.000003
-2847.539471, -179.151998, -927.050983, -0.000002, 0.000002, 0.000001, -0.000002, 0.000005, -0.000008
-2875.196296, -180.892018, -836.973318, -0.000001, 0.000002, 0.000000, -0.000002, 0.000000, -0.000009
-2900.015651, -182.453520, -746.069661, 0.000000, 0.000001, -0.000001, -0.000002, -0.000005, -0.000007
-2921.973039, -183.834961, -654.429724, 0.000001, -0.000000, -0.000001, -0.000002, -0.000007, -0.000003
-2941.046794, -185.034980, -562.143944, 0.000000, -0.000001, -0.000002, -0.000002, -0.000007, 0.000002
-2957.218090, -186.052392, -469.303395, -0.000000, -0.000001, -0.000002, -0.000001, -0.000005, 0.000006
-2970.470969, -186.886193, -375.999701, -0.000001, -0.000001, -0.000002, -0.000001, -0.000002, 0.000009
-2980.792351, -187.535559, -282.324940, -0.000001, -0.000001, -0.000001, -0.000000, 0.000001, 0.000011
-2988.172052, -187.999850, -188.371559, -0.000001, -0.000001, -0.000001, -0.000000, 0.000003, 0.000012
-2992.602787, -188.278609, -94.232277, -0.000001, -0.000001, -0.000001, 0.000000, 0.000005, 0.000013
-2994.080185, -188.371559, 0.000000, -0.000000, -0.000000, -0.000000, 0.000000, 0.000005, 0.000013
-2992.602787, -188.278609, 94.232277, -0.000000, 0.000000, 0.000001, 0.000000, 0.000004, 0.000013
-2988.172052, -187.999850, 188.371559, 0.000000, 0.000001, 0.000001, 0.000000, 0.000001, 0.000013
-2980.792351, -187.535559, 282.324940, 0.000000, 0.000001, 0.000001, 0.000001, -0.000002, 0.000011
-2970.470969, -186.886193, 375.999701, -0.000000, 0.000001, 0.000001, 0.000001, -0.000005, 0.000009
-2957.218090, -186.052392, 469.303395, -0.000001, 0.000001, 0.000001, 0.000002, -0.000007, 0.000005
-2941.046794, -185.034980, 562.143944, -0.000001, 0.000000, 0.000001, 0.000002, -0.000008, -0.000000
-2921.973039, -183.834961, 654.429724, -0.000001, -0.000001, 0.000000, 0.000003, -0.000005, -0.000005
-2900.015651, -182.453520, 746.069661, -0.000000, -0.000001, -0.000001, 0.000003, -0.000001, -0.000008
-2875.196296, -180.892018, 836.973318, 0.000001, -0.000001, -0.000001, 0.000002, 0.000005, -0.000007
-2847.539471, -179.151998, 927.050983, 0.000002, -0.000000, -0.000002, 0.000001, 0.000009, -0.000002
-2817.072467, -177.235177, 1016.213761, 0.000003, 0.000002, -0.000002, 0.000001, 0.000009, 0.000004
-2783.825353, -175.143446, 1104.373658, 0.000001, 0.000004, -0.000001, -0.000000, 0.000004, 0.000009
-2747.830940, -172.878869, 1191.443672, -0.000002, 0.000004, -0.000001, -0.000000, -0.000003, 0.000009
-2709.124749, -170.443682, 1277.337875, -0.000004, 0.000001, -0.000001, 0.000000, -0.000007, 0.000003
-2667.744979, -167.840288, 1361.971499, -0.000003, -0.000002, -0.000001, 0.000000, -0.000005, -0.000003
-2623.732467, -165.071255, 1445.261022, 0.000000, -0.000003, -0.000001, 0.000000, 0.000001, -0.000005
-2577.130648, -162.139317, 1527.124247, 0.000003, -0.000001, -0.000001, -0.000001, 0.000007, -0.000001
-2527.985512, -159.047367, 1607.480385, 0.000003, 0.000003, -0.000000, -0.000001, 0.000005, 0.000006
-2476.345559, -155.798457, 1686.250134, -0.000002, 0.000005, 0.000000, -0.000001, -0.000002, 0.000008
-2422.261752, -152.395792, 1763.355757, -0.000005, 0.000002, 0.000001, -0.000000, -0.000007, 0.000003
-2365.787466, -148.842731, 1838.721161, -0.000003, -0.000004, 0.000001, 0.000001, -0.000005, -0.000004
